,Artist_Name,Album_Title,Genre,Composer,Track_Name,Track_Unit_Price,Invoice_ID,Invoice_Tracks_Price,Invoice_Track_ID,Sales_Rep_ID,Sales_Rep_First_Name,Sales_Rep_Last_Name,Sales_Rep_Title,Sales_Rep_City,Sales_Rep_State,Sales_Rep_Country,Customer_ID,Customer_First_Name,Customer_Last_Name,Customer_City,Customer_State,Customer_Country,artist2
10,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Night Of The Long Knives,0.99,108.0,0.99,13.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,47.0,Lucas,Mancini,Rome,RM,Italy,AC/DC
11,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Spellbound,0.99,214.0,0.99,14.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,AC/DC
12,AC/DC,Let There Be Rock,Rock,AC/DC,Go Down,0.99,319.0,0.99,15.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,13.0,Fernanda,Ramos,Brasília,DF,Brazil,AC/DC
13,AC/DC,Let There Be Rock,Rock,AC/DC,Dog Eat Dog,0.99,3.0,0.99,16.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,8.0,Daan,Peeters,Brussels,,Belgium,AC/DC
14,AC/DC,Let There Be Rock,Rock,AC/DC,Let There Be Rock,0.99,,,,,,,,,,,,,,,,,AC/DC
15,AC/DC,Let There Be Rock,Rock,AC/DC,Bad Boy Boogie,0.99,,,,,,,,,,,,,,,,,AC/DC
16,AC/DC,Let There Be Rock,Rock,AC/DC,Problem Child,0.99,109.0,0.99,19.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,AC/DC
17,AC/DC,Let There Be Rock,Rock,AC/DC,Overdose,0.99,3.0,0.99,20.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,8.0,Daan,Peeters,Brussels,,Belgium,AC/DC
18,AC/DC,Let There Be Rock,Rock,AC/DC,Overdose,0.99,214.0,0.99,20.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,AC/DC
19,AC/DC,Let There Be Rock,Rock,AC/DC,Hell Ain't A Bad Place To Be,0.99,319.0,0.99,21.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,13.0,Fernanda,Ramos,Brasília,DF,Brazil,AC/DC
20,AC/DC,Let There Be Rock,Rock,AC/DC,Whole Lotta Rosie,0.99,,,,,,,,,,,,,,,,,AC/DC
21,Accept,Balls to the Wall,Rock,,Balls to the Wall,0.99,1.0,0.99,2.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,2.0,Leonie,Köhler,Stuttgart,,Germany,Accept
22,Accept,Balls to the Wall,Rock,,Balls to the Wall,0.99,214.0,0.99,2.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,Accept
23,Accept,Restless and Wild,Rock,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",Fast As a Shark,0.99,319.0,0.99,3.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,13.0,Fernanda,Ramos,Brasília,DF,Brazil,Accept
24,Accept,Restless and Wild,Rock,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Restless and Wild,0.99,1.0,0.99,4.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,2.0,Leonie,Köhler,Stuttgart,,Germany,Accept
25,Accept,Restless and Wild,Rock,Deaffy & R.A. Smith-Diesel,Princess of the Dawn,0.99,108.0,0.99,5.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,47.0,Lucas,Mancini,Rome,RM,Italy,Accept
26,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",Walk On Water,0.99,,,,,,,,,,,,,,,,,Aerosmith
27,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry",Love In An Elevator,0.99,3.0,0.99,24.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,8.0,Daan,Peeters,Brussels,,Belgium,Aerosmith
28,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",Rag Doll,0.99,109.0,0.99,25.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Aerosmith
29,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Desmond Child",What It Takes,0.99,214.0,0.99,26.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,Aerosmith
30,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Desmond Child",Dude (Looks Like A Lady),0.99,,,,,,,,,,,,,,,,,Aerosmith
31,Aerosmith,Big Ones,Rock,"Steven Tyler, Tom Hamilton",Janie's Got A Gun,0.99,3.0,0.99,28.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,8.0,Daan,Peeters,Brussels,,Belgium,Aerosmith
32,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Taylor Rhodes",Cryin',0.99,,,,,,,,,,,,,,,,,Aerosmith
33,Aerosmith,Big Ones,Rock,"Steven Tyler, Richie Supa",Amazing,0.99,320.0,0.99,30.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Aerosmith
34,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Taylor Rhodes",Blind Man,0.99,109.0,0.99,31.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Aerosmith
35,Aerosmith,Big Ones,Rock,"Steven Tyler, Jim Vallance",Deuces Are Wild,0.99,3.0,0.99,32.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,8.0,Daan,Peeters,Brussels,,Belgium,Aerosmith
36,Aerosmith,Big Ones,Rock,"Steven Tyler, Jim Vallance",Deuces Are Wild,0.99,214.0,0.99,32.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,Aerosmith
37,Aerosmith,Big Ones,Rock,"Steven Tyler, Jim Vallance",The Other Side,0.99,,,,,,,,,,,,,,,,,Aerosmith
38,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Desmond Child",Crazy,0.99,,,,,,,,,,,,,,,,,Aerosmith
39,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Jim Vallance",Eat The Rich,0.99,,,,,,,,,,,,,,,,,Aerosmith
40,Aerosmith,Big Ones,Rock,"Steven Tyler, Desmond Child",Angel,0.99,3.0,0.99,36.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,8.0,Daan,Peeters,Brussels,,Belgium,Aerosmith
41,Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Mark Hudson",Livin' On The Edge,0.99,109.0,0.99,37.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Aerosmith
42,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,All I Really Want,0.99,214.0,0.99,38.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,Alanis Morissette
43,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,You Oughta Know,0.99,320.0,0.99,39.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Alanis Morissette
44,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Perfect,0.99,,,,,,,,,,,,,,,,,Alanis Morissette
45,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Hand In My Pocket,0.99,,,,,,,,,,,,,,,,,Alanis Morissette
46,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Right Through You,0.99,4.0,0.99,42.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Alanis Morissette
47,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Forgiven,0.99,109.0,0.99,43.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Alanis Morissette
48,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,You Learn,0.99,214.0,0.99,44.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,Alanis Morissette
49,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Head Over Feet,0.99,,,,,,,,,,,,,,,,,Alanis Morissette
50,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Mary Jane,0.99,,,,,,,,,,,,,,,,,Alanis Morissette
51,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Ironic,0.99,,,,,,,,,,,,,,,,,Alanis Morissette
52,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Not The Doctor,0.99,4.0,0.99,48.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Alanis Morissette
53,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Not The Doctor,0.99,320.0,0.99,48.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Alanis Morissette
54,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Wake Up,0.99,109.0,0.99,49.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Alanis Morissette
55,Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,You Oughta Know (Alternate),0.99,,,,,,,,,,,,,,,,,Alanis Morissette
56,Alice In Chains,Facelift,Rock,Jerry Cantrell,We Die Young,0.99,,,,,,,,,,,,,,,,,Alice In Chains
57,Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley",Man In The Box,0.99,,,,,,,,,,,,,,,,,Alice In Chains
58,Alice In Chains,Facelift,Rock,Jerry Cantrell,Sea Of Sorrow,0.99,215.0,0.99,53.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,42.0,Wyatt,Girard,Bordeaux,,France,Alice In Chains
59,Alice In Chains,Facelift,Rock,Jerry Cantrell,Bleed The Freak,0.99,4.0,0.99,54.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Alice In Chains
60,Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley",I Can't Remember,0.99,109.0,0.99,55.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Alice In Chains
61,Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley","Love, Hate, Love",0.99,,,,,,,,,,,,,,,,,Alice In Chains
62,Alice In Chains,Facelift,Rock,"Jerry Cantrell, Michael Starr, Sean Kinney",It Ain't Like That,0.99,320.0,0.99,57.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Alice In Chains
63,Alice In Chains,Facelift,Rock,Jerry Cantrell,Sunshine,0.99,,,,,,,,,,,,,,,,,Alice In Chains
64,Alice In Chains,Facelift,Rock,Jerry Cantrell,Put You Down,0.99,,,,,,,,,,,,,,,,,Alice In Chains
65,Alice In Chains,Facelift,Rock,"Jerry Cantrell, Michael Starr, Layne Staley",Confusion,0.99,4.0,0.99,60.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Alice In Chains
66,Alice In Chains,Facelift,Rock,Jerry Cantrell,I Know Somethin (Bout You),0.99,109.0,0.99,61.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Alice In Chains
67,Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley",Real Thing,0.99,215.0,0.99,62.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,42.0,Wyatt,Girard,Bordeaux,,France,Alice In Chains
68,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Desafinado,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
69,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Garota De Ipanema,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
70,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Samba De Uma Nota Só (One Note Samba),0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
71,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Por Causa De Você,0.99,4.0,0.99,66.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Antônio Carlos Jobim
72,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Por Causa De Você,0.99,320.0,0.99,66.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Antônio Carlos Jobim
73,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Ligia,0.99,109.0,0.99,67.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,53.0,Phil,Hughes,London,,United Kingdom,Antônio Carlos Jobim
74,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Fotografia,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
75,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Dindi (Dindi),0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
76,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Se Todos Fossem Iguais A Você (Instrumental),0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
77,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Falando De Amor,0.99,215.0,0.99,71.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,42.0,Wyatt,Girard,Bordeaux,,France,Antônio Carlos Jobim
78,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Angela,0.99,4.0,0.99,72.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Antônio Carlos Jobim
79,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Corcovado (Quiet Nights Of Quiet Stars),0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
80,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Outra Vez,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
81,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,O Boto (Bôto),0.99,320.0,0.99,75.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Antônio Carlos Jobim
82,Antônio Carlos Jobim,Warner 25 Anos,Jazz,,"Canta, Canta Mais",0.99,110.0,0.99,76.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,3.0,François,Tremblay,Montréal,QC,Canada,Antônio Carlos Jobim
83,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Garota De Ipanema,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
84,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tim Tim Por Tim Tim,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
85,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tarde Em Itapoã,0.99,222.0,0.99,393.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,21.0,Kathy,Chase,Reno,NV,USA,Antônio Carlos Jobim
86,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tarde Em Itapoã,0.99,328.0,0.99,393.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,15.0,Jennifer,Peterson,Vancouver,BC,Canada,Antônio Carlos Jobim
87,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tanto Tempo,0.99,12.0,0.99,394.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,2.0,Leonie,Köhler,Stuttgart,,Germany,Antônio Carlos Jobim
88,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tanto Tempo,0.99,329.0,0.99,394.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,16.0,Frank,Harris,Mountain View,CA,USA,Antônio Carlos Jobim
89,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Eu Vim Da Bahia - Live,0.99,329.0,0.99,395.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,16.0,Frank,Harris,Mountain View,CA,USA,Antônio Carlos Jobim
90,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Alô Alô Marciano,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
91,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Linha Do Horizonte,0.99,330.0,0.99,397.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,18.0,Michelle,Brooks,New York,NY,USA,Antônio Carlos Jobim
92,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Only A Dream In Rio,0.99,117.0,0.99,398.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,41.0,Marc,Dubois,Lyon,,France,Antônio Carlos Jobim
93,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Abrir A Porta,0.99,330.0,0.99,399.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,18.0,Michelle,Brooks,New York,NY,USA,Antônio Carlos Jobim
94,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Alice,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
95,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Momentos Que Marcam,0.99,331.0,0.99,401.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,20.0,Dan,Miller,Mountain View,CA,USA,Antônio Carlos Jobim
96,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Um Jantar Pra Dois,0.99,222.0,0.99,402.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,21.0,Kathy,Chase,Reno,NV,USA,Antônio Carlos Jobim
97,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Bumbo Da Mangueira,0.99,12.0,0.99,403.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,2.0,Leonie,Köhler,Stuttgart,,Germany,Antônio Carlos Jobim
98,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Bumbo Da Mangueira,0.99,331.0,0.99,403.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,20.0,Dan,Miller,Mountain View,CA,USA,Antônio Carlos Jobim
99,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Mr Funk Samba,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
100,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Santo Antonio,0.99,331.0,0.99,405.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,20.0,Dan,Miller,Mountain View,CA,USA,Antônio Carlos Jobim
101,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Por Você,0.99,,,,,,,,,,,,,,,,,Antônio Carlos Jobim
102,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Só Tinha De Ser Com Você,0.99,117.0,0.99,407.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,41.0,Marc,Dubois,Lyon,,France,Antônio Carlos Jobim
103,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Só Tinha De Ser Com Você,0.99,331.0,0.99,407.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,20.0,Dan,Miller,Mountain View,CA,USA,Antônio Carlos Jobim
104,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Enter Sandman,0.99,,,,,,,,,,,,,,,,,Apocalyptica
105,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Master Of Puppets,0.99,4.0,0.99,78.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Apocalyptica
106,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Harvester Of Sorrow,0.99,,,,,,,,,,,,,,,,,Apocalyptica
107,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,The Unforgiven,0.99,215.0,0.99,80.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,42.0,Wyatt,Girard,Bordeaux,,France,Apocalyptica
108,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Sad But True,0.99,,,,,,,,,,,,,,,,,Apocalyptica
109,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Creeping Death,0.99,,,,,,,,,,,,,,,,,Apocalyptica
110,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Wherever I May Roam,0.99,,,,,,,,,,,,,,,,,Apocalyptica
111,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Welcome Home (Sanitarium),0.99,4.0,0.99,84.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Apocalyptica
112,Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Welcome Home (Sanitarium),0.99,320.0,0.99,84.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Apocalyptica
113,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Cochise,0.99,110.0,0.99,85.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,3.0,François,Tremblay,Montréal,QC,Canada,Audioslave
114,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Show Me How to Live,0.99,,,,,,,,,,,,,,,,,Audioslave
115,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Gasoline,0.99,,,,,,,,,,,,,,,,,Audioslave
116,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,What You Are,0.99,,,,,,,,,,,,,,,,,Audioslave
117,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Like a Stone,0.99,215.0,0.99,89.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,42.0,Wyatt,Girard,Bordeaux,,France,Audioslave
118,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Set It Off,0.99,4.0,0.99,90.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,14.0,Mark,Philips,Edmonton,AB,Canada,Audioslave
119,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Shadow on the Sun,0.99,,,,,,,,,,,,,,,,,Audioslave
120,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,I am the Highway,0.99,,,,,,,,,,,,,,,,,Audioslave
121,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Exploder,0.99,320.0,0.99,93.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,22.0,Heather,Leacock,Orlando,FL,USA,Audioslave
122,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Hypnotize,0.99,110.0,0.99,94.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,3.0,François,Tremblay,Montréal,QC,Canada,Audioslave
123,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Bring'em Back Alive,0.99,,,,,,,,,,,,,,,,,Audioslave
124,Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Light My Way,0.99,,,,,,,,,,,,,,,,,Audioslave
